  time | pc      | rom_inst  | if_id_pc | if_id_inst
-------+---------+-----------+----------+-----------
    11 | 00000000 | 00000000 | 00000000 | 00000000
    21 | 00000000 | 00000000 | 00000000 | 00000000
    31 | 00000000 | 00000000 | 00000000 | 00000000
    41 | 00000000 | 00000000 | 00000000 | 00000000
    51 | 00000000 | 00000000 | 00000000 | 00000000
    61 | 00000000 | 00000000 | 00000000 | 00000000
    71 | 00000000 | 00000000 | 00000000 | 00000000
    81 | 00000000 | 00000000 | 00000000 | 00000000
    91 | 00000000 | 00000000 | 00000000 | 00000000
   101 | 00000000 | 00a00093 | 00000000 | 00000000
   111 | 00000004 | 00508113 | 00000000 | 00a00093
   121 | 00000008 | 002081b3 | 00000004 | 00508113
   131 | 0000000c | 40118233 | 00000008 | 002081b3
   141 | 00000010 | 00209293 | 0000000c | 40118233
   151 | 00000014 | 00328333 | 00000010 | 00209293
   161 | 00000018 | 0000006f | 00000014 | 00328333
   171 | 0000001c | 00000001 | 00000018 | 0000006f
   181 | 00000020 | 00000002 | 0000001c | 00000001
   191 | 00000024 | 00000003 | 00000020 | 00000002
   201 | 00000028 | 00000004 | 00000024 | 00000003
   211 | 0000002c | 00000005 | 00000028 | 00000004
   221 | 00000030 | 00000006 | 0000002c | 00000005
---- done ----
